dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,11711,last-linear-layer,0.001,8,0.2,0.7714010789015583,0.619800820152314,0.560723687366994,0.5918367346938775,0.5121854093660402,0.5918367346938775,True,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,1,11711,last-linear-layer,0.001,8,0.2,0.5719619554893993,0.69302870533099,0.6695507354744897,0.6816326530612244,0.6542052692530399,0.6816326530612244,True,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,2,11711,last-linear-layer,0.001,8,0.2,0.49924619349642335,0.6531927357937902,0.6063216420561854,0.6408163265306123,0.5862121910026101,0.6816326530612244,False,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,3,11711,last-linear-layer,0.001,8,0.2,0.4605744148944026,0.8377270064440538,0.8362521882321163,0.8040816326530612,0.799509001636661,0.8040816326530612,True,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,4,11711,last-linear-layer,0.001,8,0.2,0.42634584817373866,0.8301113063854716,0.8279573554720843,0.7918367346938775,0.7861360718870345,0.8040816326530612,False,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,5,11711,last-linear-layer,0.001,8,0.2,0.41438966801511906,0.8342120679554774,0.8320877585388871,0.8,0.7945228925973471,0.8040816326530612,False,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,6,11711,last-linear-layer,0.001,8,0.2,0.40098593537216987,0.8705330990041008,0.8702336500838458,0.8408163265306122,0.8387096774193548,0.8408163265306122,True,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,7,11711,last-linear-layer,0.001,8,0.2,0.3754690986509635,0.8711189220855302,0.8710912720751991,0.8612244897959184,0.8609441773504274,0.8612244897959184,True,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,8,11711,last-linear-layer,0.001,8,0.2,0.37830704255638836,0.8734622144112478,0.8734465355614988,0.8693877551020408,0.8685974792169482,0.8693877551020408,True,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
cfimdb,9,11711,last-linear-layer,0.001,8,0.2,0.37198202576592704,0.8699472759226714,0.8699043698212907,0.8693877551020408,0.8692112638462565,0.8693877551020408,False,checkpoints/no-Rdrop-simple-linear-cfimdb.pt
