dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,1,full-model,2e-05,4,0.2,0.549415463395685,0.9472759226713533,0.9471386101820884,0.9020408163265307,0.9013157894736842,0.9020408163265307,True,checkpoints/sweep-CFIMDB-epoch3-check-seed1-lr2em5-ep3-alpha1p0-drop0p2-cfimdb.pt
cfimdb,1,1,full-model,2e-05,4,0.2,0.20609586900507196,0.9882835383714118,0.9882832126648381,0.9755102040816327,0.9755065315915755,0.9755102040816327,True,checkpoints/sweep-CFIMDB-epoch3-check-seed1-lr2em5-ep3-alpha1p0-drop0p2-cfimdb.pt
cfimdb,2,1,full-model,2e-05,4,0.2,0.1104664502164523,0.9912126537785588,0.9912126417156712,0.9714285714285714,0.9714266673331,0.9755102040816327,False,checkpoints/sweep-CFIMDB-epoch3-check-seed1-lr2em5-ep3-alpha1p0-drop0p2-cfimdb.pt
