dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,last-linear-layer,0.001,64,0.2,2.0616418986178155,0.35557116104868913,0.21393370582655216,0.36330608537693004,0.21596510442179068,0.36330608537693004,True,checkpoints/sst.pt
sst,1,11711,last-linear-layer,0.001,64,0.2,1.4237061943580855,0.4515449438202247,0.3294412859006336,0.444141689373297,0.3212612535089671,0.444141689373297,True,checkpoints/sst.pt
sst,2,11711,last-linear-layer,0.001,64,0.2,1.37561078391858,0.4190074906367041,0.2612699963986888,0.4014532243415077,0.25294423903675917,0.444141689373297,False,checkpoints/sst.pt
sst,3,11711,last-linear-layer,0.001,64,0.2,1.3596638405500954,0.481624531835206,0.3964941584940317,0.4550408719346049,0.36953794481601177,0.4550408719346049,True,checkpoints/sst.pt
sst,4,11711,last-linear-layer,0.001,64,0.2,1.3427514398275917,0.47331460674157305,0.41393479950164647,0.43869209809264303,0.39577051801442475,0.4550408719346049,False,checkpoints/sst.pt
sst,5,11711,last-linear-layer,0.001,64,0.2,1.3375588077217786,0.48829588014981273,0.4081940853610645,0.45413260672116257,0.37559715565908,0.4550408719346049,False,checkpoints/sst.pt
sst,6,11711,last-linear-layer,0.001,64,0.2,1.3221072465626162,0.49157303370786515,0.38688435724473674,0.4514078110808356,0.35040976573228905,0.4550408719346049,False,checkpoints/sst.pt
sst,7,11711,last-linear-layer,0.001,64,0.2,1.3153667547809544,0.5007022471910112,0.42015192648353283,0.46684831970935514,0.3806004789206118,0.46684831970935514,True,checkpoints/sst.pt
sst,8,11711,last-linear-layer,0.001,64,0.2,1.3091142551222843,0.49894662921348315,0.4007963775814817,0.4550408719346049,0.3616986984840091,0.46684831970935514,False,checkpoints/sst.pt
sst,9,11711,last-linear-layer,0.001,64,0.2,1.301872591474163,0.5029260299625468,0.42287970197621655,0.46684831970935514,0.3915422418366803,0.46684831970935514,False,checkpoints/sst.pt
