dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,full-model,2e-05,64,0.2,2.198261907741205,0.399812734082397,0.26053650258995015,0.3923705722070845,0.2643096207277051,0.3923705722070845,True,checkpoints/sst.pt
sst,1,11711,full-model,2e-05,64,0.2,1.3630065624393635,0.5016385767790262,0.3669763669105107,0.4659400544959128,0.34452677005658383,0.4659400544959128,True,checkpoints/sst.pt
sst,2,11711,full-model,2e-05,64,0.2,1.2381498991553463,0.5311329588014981,0.43278860645086825,0.48319709355131696,0.38450396027423056,0.48319709355131696,True,checkpoints/sst.pt
sst,3,11711,full-model,2e-05,64,0.2,1.1815041094573575,0.5482209737827716,0.47505321038298876,0.49318801089918257,0.4220507635851741,0.49318801089918257,True,checkpoints/sst.pt
sst,4,11711,full-model,2e-05,64,0.2,1.1516750619482639,0.5536048689138576,0.49152672031831124,0.49682107175295187,0.43869347582056745,0.49682107175295187,True,checkpoints/sst.pt
