dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,0,full-model,1e-05,64,0.2,2.31779816346382,0.27071629213483145,0.16007716116748857,0.23887375113533152,0.13985440659730014,0.23887375113533152,True,checkpoints/sst.pt
sst,1,0,full-model,1e-05,64,0.2,1.6231465375245506,0.2863998127340824,0.15822444130497976,0.25340599455040874,0.142390931847199,0.25340599455040874,True,checkpoints/sst.pt
sst,2,0,full-model,1e-05,64,0.2,1.5731563016549865,0.30243445692883897,0.1693858630023521,0.2652134423251589,0.14731966637736194,0.2652134423251589,True,checkpoints/sst.pt
sst,3,0,full-model,1e-05,64,0.2,1.5309732449588491,0.3647003745318352,0.29669486710233506,0.31970935513169846,0.2632676314466017,0.31970935513169846,True,checkpoints/sst.pt
sst,4,0,full-model,1e-05,64,0.2,1.3908071153199495,0.4716760299625468,0.4229686189620182,0.4232515894641235,0.3797399350261065,0.4232515894641235,True,checkpoints/sst.pt
