dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,full-model,1e-05,64,0.2,1.7006293659779563,0.34176029962546817,0.18652929234063872,0.32334241598546776,0.17814033945374005,0.32334241598546776,True,checkpoints/base-full-lr1e-5-ep5-sst.pt
sst,1,11711,full-model,1e-05,64,0.2,1.4221599110916479,0.4914559925093633,0.3704130714679457,0.4732061762034514,0.3555380186385401,0.4732061762034514,True,checkpoints/base-full-lr1e-5-ep5-sst.pt
sst,2,11711,full-model,1e-05,64,0.2,1.2250716188060704,0.5249297752808989,0.43819711912497195,0.4768392370572207,0.3870434211518049,0.4768392370572207,True,checkpoints/base-full-lr1e-5-ep5-sst.pt
sst,3,11711,full-model,1e-05,64,0.2,1.1463775866067232,0.5567649812734082,0.490059396128632,0.48864668483197093,0.41553652900446514,0.48864668483197093,True,checkpoints/base-full-lr1e-5-ep5-sst.pt
sst,4,11711,full-model,1e-05,64,0.2,1.0885299631019136,0.5877808988764045,0.5528100646581411,0.5013623978201635,0.4650856799521268,0.5013623978201635,True,checkpoints/base-full-lr1e-5-ep5-sst.pt
