dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,2,full-model,1e-05,64,0.2,1.7454709179365813,0.33965355805243447,0.20965985569974258,0.3278837420526794,0.2018627699930135,0.3278837420526794,True,checkpoints/sst.pt
sst,1,2,full-model,1e-05,64,0.2,1.4330434781401904,0.4542368913857678,0.3680473989503709,0.41689373297002724,0.3380737195785888,0.41689373297002724,True,checkpoints/sst.pt
sst,2,2,full-model,1e-05,64,0.2,1.2336640713819818,0.5225889513108615,0.4622635171550714,0.4604904632152589,0.3929960553418158,0.4604904632152589,True,checkpoints/sst.pt
sst,3,2,full-model,1e-05,64,0.2,1.1361914775264796,0.5642556179775281,0.5315418221139157,0.49591280653950953,0.4566072826323058,0.49591280653950953,True,checkpoints/sst.pt
sst,4,2,full-model,1e-05,64,0.2,1.0772422738929293,0.5924625468164794,0.5633449731708029,0.4841053587647593,0.4500816421848617,0.49591280653950953,False,checkpoints/sst.pt
