dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,0,full-model,2e-05,8,0.2,0.5650322250913062,0.9543057996485061,0.9542352957351445,0.9102040816326531,0.909660766961652,0.9102040816326531,True,checkpoints/cfimdb.pt
cfimdb,1,0,full-model,2e-05,8,0.2,0.10732559666960179,0.9882835383714118,0.988283341341204,0.9551020408163265,0.9550750971011353,0.9551020408163265,True,checkpoints/cfimdb.pt
cfimdb,2,0,full-model,2e-05,8,0.2,0.06919765819441288,0.994141769185706,0.9941415259077031,0.9551020408163265,0.9550541185103651,0.9551020408163265,False,checkpoints/cfimdb.pt
cfimdb,3,0,full-model,2e-05,8,0.2,0.03863717796836945,0.9964850615114236,0.9964850024023612,0.9591836734693877,0.9591503267973855,0.9591836734693877,True,checkpoints/cfimdb.pt
cfimdb,4,0,full-model,2e-05,8,0.2,0.01549978802083566,0.9982425307557118,0.9982425211053618,0.9714285714285714,0.9714266673331,0.9714285714285714,True,checkpoints/cfimdb.pt
