dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,2,full-model,2e-05,8,0.2,0.612340210688901,0.9707088459285296,0.9706950777344394,0.9591836734693877,0.9591503267973855,0.9591836734693877,True,checkpoints/cfimdb.pt
cfimdb,1,2,full-model,2e-05,8,0.2,0.1111761567685492,0.9906268306971294,0.9906268274803627,0.9714285714285714,0.9714266673331,0.9714285714285714,True,checkpoints/cfimdb.pt
cfimdb,2,2,full-model,2e-05,8,0.2,0.07886005084059707,0.9958992384299942,0.9958991877653096,0.963265306122449,0.9632432612645652,0.9714285714285714,False,checkpoints/cfimdb.pt
cfimdb,3,2,full-model,2e-05,8,0.2,0.042502703736589924,0.9988283538371412,0.9988283502182687,0.9551020408163265,0.9550541185103651,0.9714285714285714,False,checkpoints/cfimdb.pt
cfimdb,4,2,full-model,2e-05,8,0.2,0.02472478282997969,0.9906268306971294,0.9906259009596508,0.9306122448979591,0.9303849303849303,0.9714285714285714,False,checkpoints/cfimdb.pt
