dataset,epoch,seed,model_size,lr,batch_size,weight_decay,dropout,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
quora,0,11711,gpt2,1e-05,8,0.0,0.1,0.36022889483617127,0.8306484383557772,0.8199628562486372,0.8704642706967771,0.8630080885111602,0,True,checkpoints/base-gpt2-drop01-lr1e-05-ep3-bs8-wd0-drop0.1-quora.pt
quora,1,11711,gpt2,1e-05,8,0.0,0.1,0.27159159284361056,0.8815065564675992,0.8741266690834755,0.8846372653293428,0.8772642571862961,0.8704642706967771,True,checkpoints/base-gpt2-drop01-lr1e-05-ep3-bs8-wd0-drop0.1-quora.pt
quora,2,11711,gpt2,1e-05,8,0.0,0.1,0.22353689366422294,0.9049126687702957,0.8988797667406381,0.8926760493705014,0.8847665594984049,0.8846372653293428,True,checkpoints/base-gpt2-drop01-lr1e-05-ep3-bs8-wd0-drop0.1-quora.pt
