dataset,epoch,seed,model_size,lr,batch_size,weight_decay,dropout,use_lora,freeze_gpt,lora_rank,lora_alpha,lora_dropout,lora_targets,resume_from,start_epoch,trainable_parameters,total_parameters,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
quora,0,11711,gpt2,0.0001,8,0.01,0.1,True,True,16,16.0,0.1,"query,value",,,591362,125621762,0.41276497663049705,0.7971222919898375,0.7840328166044126,0.8409310148655668,0.8326293685106692,0,True,checkpoints/base-gpt2-lora-r16-a16-qv-lr1e-4-ep3-bs8-wd0.01-drop0.1-loradrop0.1-quora.pt
quora,1,11711,gpt2,0.0001,8,0.01,0.1,True,True,16,16.0,0.1,"query,value",,,591362,125621762,0.3483603404423543,0.8388780330950555,0.8293386061160422,0.8485740433846991,0.8412867929025467,0.8409310148655668,True,checkpoints/base-gpt2-lora-r16-a16-qv-lr1e-4-ep3-bs8-wd0.01-drop0.1-loradrop0.1-quora.pt
quora,2,11711,gpt2,0.0001,8,0.01,0.1,True,True,16,16.0,0.1,"query,value",,,591362,125621762,0.3259805416091991,0.8513513991017763,0.8423846099885879,0.8589131563976353,0.8514930641720445,0.8485740433846991,True,checkpoints/base-gpt2-lora-r16-a16-qv-lr1e-4-ep3-bs8-wd0.01-drop0.1-loradrop0.1-quora.pt
