dataset,epoch,seed,model_size,lr,batch_size,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
quora,0,11711,gpt2,1e-05,4,0.3504413764563636,0.8378073730667166,0.8276773339945798,0.870192188775384,0.8634002235758689,0,True,checkpoints/base-gpt2-lr1e-05-ep5-bs4-quora.pt
quora,1,11711,gpt2,1e-05,4,0.25996413269452573,0.8874923587382466,0.8804530767201919,0.8863934304583344,0.8779289646899159,0.870192188775384,True,checkpoints/base-gpt2-lr1e-05-ep5-bs4-quora.pt
quora,2,11711,gpt2,1e-05,4,0.2065665227786396,0.9136086896605337,0.9080823761382539,0.8926265799302481,0.8862728238352955,0.8863934304583344,True,checkpoints/base-gpt2-lr1e-05-ep5-bs4-quora.pt
quora,3,11711,gpt2,1e-05,4,0.1625804385038953,0.934361119846786,0.9300860622209517,0.8934428256944272,0.8875257427837766,0.8926265799302481,True,checkpoints/base-gpt2-lr1e-05-ep5-bs4-quora.pt
quora,4,11711,gpt2,1e-05,4,0.12729737866426363,0.9497178475139839,0.946324492147369,0.8943332756189863,0.8881233950352108,0.8934428256944272,True,checkpoints/base-gpt2-lr1e-05-ep5-bs4-quora.pt
