dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,1,full-model,1.5e-05,64,0.2,1.8037441150466007,0.3411750936329588,0.18534765051166974,0.33605812897366033,0.1847655000110801,0.33605812897366033,True,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-sst.pt
sst,1,1,full-model,1.5e-05,64,0.2,1.4286023387268407,0.47542134831460675,0.3443466397971145,0.4514078110808356,0.33264972966929124,0.4514078110808356,True,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-sst.pt
sst,2,1,full-model,1.5e-05,64,0.2,1.2377393410277011,0.5043305243445693,0.4009804893313077,0.4677565849227975,0.3680852341062823,0.4677565849227975,True,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-sst.pt
sst,3,1,full-model,1.5e-05,64,0.2,1.1764668546505828,0.5118211610486891,0.4303672772652273,0.47774750227066304,0.3924128684505874,0.47774750227066304,True,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-sst.pt
sst,4,1,full-model,1.5e-05,64,0.2,1.1465529946248922,0.5333567415730337,0.4631047972470472,0.4913714804722979,0.41510415166731435,0.4913714804722979,True,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr1p5em5-drop0p2-sst.pt
