dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,full-model,2e-05,64,0.2,1.725798512572673,0.38974719101123595,0.2733104382594216,0.3651226158038147,0.2519595781708984,0.3651226158038147,True,checkpoints/sst.pt
sst,1,11711,full-model,2e-05,64,0.2,1.301447772268039,0.5099485018726592,0.43413310847961545,0.46321525885558584,0.3896259186638947,0.46321525885558584,True,checkpoints/sst.pt
sst,2,11711,full-model,2e-05,64,0.2,1.178122127234046,0.5510299625468165,0.47869889695766066,0.4768392370572207,0.4057115641151491,0.4768392370572207,True,checkpoints/sst.pt
sst,3,11711,full-model,2e-05,64,0.2,1.109684544267939,0.5746722846441947,0.5269784166014059,0.4904632152588556,0.4410337782622319,0.4904632152588556,True,checkpoints/sst.pt
sst,4,11711,full-model,2e-05,64,0.2,1.0686913906638302,0.576310861423221,0.5347531733026469,0.48864668483197093,0.4453771541781073,0.4904632152588556,False,checkpoints/sst.pt
