dataset,best_dev_acc,best_dev_f1,best_epoch,final_train_acc,final_train_f1,final_dev_acc,final_dev_f1,fine_tune_mode,lr,epochs,batch_size,hidden_dropout_prob,pooling_config,use_simple_classifier,use_rdrop,rdrop_alpha,weight_decay,max_grad_norm,unuse_schedule,warmup_ratio,run_group,filename,prediction_prefix,checkpoint_path,path
SST,0.4986376021798365,0.43604005715247923,4,0.56437265917603,0.5070792765433174,0.4986376021798365,0.43604005715247923,full-model,2e-05,5,64,0.2,last_mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
SST,0.49318801089918257,0.4357682120115733,3,0.5749063670411985,0.5279349340016497,0.4895549500454133,0.4444326634501644,full-model,2e-05,5,64,0.2,mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.4786557674841054,0.4348084634861505,9,0.5304307116104869,0.48370371210158875,0.4786557674841054,0.4348084634861505,last-linear-layer,0.001,10,64,0.2,last_mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json,Rdrop-last-mean-simple-linear-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-linear-RdropAlpha1.0-last-linear-layer-sst-summary.json
SST,0.5022706630336058,0.43220936390353193,2,0.5926966292134831,0.5546389515062423,0.5013623978201635,0.46060667500028474,full-model,2e-05,5,64,0.2,,True,,,0.01,1.0,False,0.06,no-Rdrop-simple,no-Rdrop-simple-full-lr2e-5-ep5-full-model-sst-summary.json,no-Rdrop-simple-full-lr2e-5-ep5-,checkpoints/no-Rdrop-simple-full-lr2e-5-ep5-sst.pt,runs/no-Rdrop-simple/no-Rdrop-simple-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.46321525885558584,0.42929685066106904,9,0.4887640449438202,0.4443362939794387,0.46321525885558584,0.42929685066106904,last-linear-layer,0.001,10,64,0.2,mean,False,,,0.01,1.0,False,0.06,no-Rdrop-mean-mlp,no-Rdrop-mean-mlp-linear-last-linear-layer-sst-summary.json,no-Rdrop-mean-mlp-linear-,checkpoints/no-Rdrop-mean-linear-sst.pt,runs/no-Rdrop-mean-mlp/no-Rdrop-mean-mlp-linear-last-linear-layer-sst-summary.json
SST,0.47229791099000906,0.4240440929240862,4,0.5481039325842697,0.491438385774989,0.47229791099000906,0.4240440929240862,full-model,2e-05,5,64,0.2,mean,False,True,1.0,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.4732061762034514,0.4239130348803554,9,0.5244616104868914,0.47206944926363964,0.4732061762034514,0.4239130348803554,last-linear-layer,0.001,10,64,0.2,last_mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json,Rdrop-last-mean-simple-linear-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-linear-RdropAlpha2.0-last-linear-layer-sst-summary.json
SST,0.46866485013623976,0.42260761525456375,3,0.5475187265917603,0.49811430887951635,0.4659400544959128,0.4202574184830711,full-model,2e-05,5,64,0.2,mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.4677565849227975,0.4215285340451647,9,0.48993445692883897,0.43574622854434253,0.4677565849227975,0.4215285340451647,last-linear-layer,0.001,10,64,0.2,mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-mean-mlp,Rdrop-mean-mlp-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json,Rdrop-mean-mlp-linear-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-mean-mlp/Rdrop-mean-mlp-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json
SST,0.4732061762034514,0.41326489846647574,7,0.5105337078651685,0.44645021996570106,0.4641235240690282,0.40682509038081954,last-linear-layer,0.001,10,64,0.2,last_mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json,Rdrop-last-mean-mlp-linear-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-linear-RdropAlpha0.5-last-linear-layer-sst-summary.json
