dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,11711,full-model,2e-05,8,0.2,0.368912702831048,0.974223784417106,0.9742182544150398,0.9673469387755103,0.9673333333333334,0,True,checkpoints/base-full-lr2e-5-ep5-cfimdb.pt
cfimdb,1,11711,full-model,2e-05,8,0.2,0.11359838551077904,0.9929701230228472,0.992970101309612,0.9551020408163265,0.9550750971011353,0.9673469387755103,False,checkpoints/base-full-lr2e-5-ep5-cfimdb.pt
cfimdb,2,11711,full-model,2e-05,8,0.2,0.046968239209278506,0.9953134153485648,0.9953133751386494,0.9755102040816327,0.9755065315915755,0.9673469387755103,True,checkpoints/base-full-lr2e-5-ep5-cfimdb.pt
cfimdb,3,11711,full-model,2e-05,8,0.2,0.03550047644837781,0.9988283538371412,0.9988283502182687,0.9714285714285714,0.9714266673331,0.9755102040816327,False,checkpoints/base-full-lr2e-5-ep5-cfimdb.pt
cfimdb,4,11711,full-model,2e-05,8,0.2,0.01383110978387615,0.9988283538371412,0.9988283502182687,0.9755102040816327,0.9755097960815673,0.9755102040816327,False,checkpoints/base-full-lr2e-5-ep5-cfimdb.pt
