dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,11711,full-model,2e-05,4,0.2,0.6148896778254705,0.971294669009959,0.97129214684412,0.9428571428571428,0.9427417200854702,0.9428571428571428,True,checkpoints/cfimdb.pt
cfimdb,1,11711,full-model,2e-05,4,0.2,0.2268033434177892,0.9759812536613942,0.9759717210155687,0.9551020408163265,0.9550750971011351,0.9551020408163265,True,checkpoints/cfimdb.pt
cfimdb,2,11711,full-model,2e-05,4,0.2,0.13523647847192719,0.9847685998828354,0.9847670890594324,0.9346938775510204,0.9345094894413258,0.9551020408163265,False,checkpoints/cfimdb.pt
cfimdb,3,11711,full-model,2e-05,4,0.2,0.07898052778552953,0.9953134153485648,0.9953134137401813,0.9510204081632653,0.9509803921568628,0.9551020408163265,False,checkpoints/cfimdb.pt
cfimdb,4,11711,full-model,2e-05,4,0.2,0.04339926587567722,0.9958992384299942,0.9958992328006466,0.9510204081632653,0.9509803921568628,0.9551020408163265,False,checkpoints/cfimdb.pt
