dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,full-model,2e-05,64,0.2,1.7978148478180616,0.3643492509363296,0.1891443248826803,0.3605812897366031,0.18999687010954616,0.3605812897366031,True,checkpoints/sst.pt
sst,1,11711,full-model,2e-05,64,0.2,1.3726057872843387,0.48010299625468167,0.38300768506340815,0.43415077202543145,0.3517219037967425,0.43415077202543145,True,checkpoints/sst.pt
sst,2,11711,full-model,2e-05,64,0.2,1.2358380298116314,0.5236423220973783,0.4511921010663712,0.46321525885558584,0.399906976290167,0.46321525885558584,True,checkpoints/sst.pt
sst,3,11711,full-model,2e-05,64,0.2,1.1754234495447642,0.5355805243445693,0.4819434568176787,0.46866485013623976,0.42260761525456375,0.46866485013623976,True,checkpoints/sst.pt
sst,4,11711,full-model,2e-05,64,0.2,1.1406142409168072,0.5475187265917603,0.49811430887951635,0.4659400544959128,0.4202574184830711,0.46866485013623976,False,checkpoints/sst.pt
